Ativo;Data;time;open;high;low;close;Volume;Quantidade
WINFUT;23/12/2021;09:05:00;107135;107165;107030;107060;1901699432.85;88789
WINFUT;23/12/2021;09:00:00;107080;107245;106965;107140;3119611351.71;145639
WINFUT;22/12/2021;18:20:00;106630;106835;106605;106835;1048783661.50;49136
WINFUT;22/12/2021;18:15:00;106575;106635;106555;106630;869429597.87;40786
WINFUT;22/12/2021;18:10:00;106530;106580;106520;106575;795738113.78;37338
WINFUT;22/12/2021;18:05:00;106550;106560;106505;106525;750029766.09;35203
WINFUT;22/12/2021;18:00:00;106555;106575;106490;106555;1006240193.87;47222
WINFUT;22/12/2021;17:55:00;106500;106575;106440;106550;1856094718.46;87140
WINFUT;22/12/2021;17:50:00;106485;106540;106480;106505;1269802965.82;59612
WINFUT;22/12/2021;17:45:00;106465;106495;106430;106490;1103313420.34;51814
WINFUT;22/12/2021;17:40:00;106475;106505;106455;106470;1113204641.50;52275
WINFUT;22/12/2021;17:35:00;106405;106480;106400;106475;1139433726.88;53524
WINFUT;22/12/2021;17:30:00;106430;106465;106380;106410;1414557807.97;66459
WINFUT;22/12/2021;17:25:00;106440;106475;106410;106425;1185197041.56;55675
WINFUT;22/12/2021;17:20:00;106445;106465;106400;106440;1540891719.85;72389
WINFUT;22/12/2021;17:15:00;106490;106530;106410;106440;1991293484.52;93521
WINFUT;22/12/2021;17:10:00;106440;106510;106425;106490;1496007494.19;70253
WINFUT;22/12/2021;17:05:00;106420;106470;106405;106440;1073940312.91;50448
WINFUT;22/12/2021;17:00:00;106445;106495;106405;106425;1991808513.51;93557
WINFUT;22/12/2021;16:55:00;106460;106480;106355;106445;2998617127.41;140904
WINFUT;22/12/2021;16:50:00;106450;106505;106435;106460;1477666656.87;69395
WINFUT;22/12/2021;16:45:00;106450;106470;106410;106450;1522747332.50;71529
WINFUT;22/12/2021;16:40:00;106520;106565;106420;106450;2872483463.52;134864
WINFUT;22/12/2021;16:35:00;106525;106580;106510;106525;1415207661.93;66419
WINFUT;22/12/2021;16:30:00;106400;106560;106395;106530;3029798942.82;142256
WINFUT;22/12/2021;16:25:00;106605;106625;106380;106400;3805787869.37;178678
