Ativo;Data;time;open;high;low;close;Volume;Quantidade
WDOFUT;12/01/2022;11:39:00;5.580,500;5.582,000;5.577,000;5.578,500;600.584.340,00;10.765
WDOFUT;12/01/2022;11:38:00;5.585,000;5.585,000;5.580,000;5.580,500;484.698.290,00;8.683
WDOFUT;12/01/2022;11:37:00;5.587,500;5.587,500;5.583,500;5.585,000;309.713.070,00;5.545
WDOFUT;12/01/2022;11:36:00;5.590,000;5.590,500;5.582,500;5.587,000;782.504.105,00;14.007
WDOFUT;12/01/2022;11:35:00;5.584,000;5.591,500;5.582,500;5.590,500;707.784.195,00;12.668
WDOFUT;12/01/2022;11:34:00;5.581,000;5.586,000;5.579,500;5.583,500;646.536.280,00;11.582
WDOFUT;12/01/2022;11:33:00;5.578,000;5.582,000;5.577,000;5.580,500;379.044.035,00;6.793
WDOFUT;12/01/2022;11:32:00;5.580,500;5.581,000;5.577,000;5.578,000;545.473.145,00;9.779
WDOFUT;12/01/2022;11:31:00;5.579,000;5.582,000;5.578,500;5.581,000;441.516.325,00;7.912
WDOFUT;12/01/2022;11:30:00;5.584,000;5.584,000;5.578,500;5.579,500;868.371.215,00;15.558
WDOFUT;12/01/2022;11:29:00;5.585,000;5.585,000;5.583,500;5.584,000;198.575.310,00;3.556
WDOFUT;12/01/2022;11:28:00;5.582,500;5.588,000;5.582,000;5.584,500;596.998.640,00;10.689
WDOFUT;12/01/2022;11:27:00;5.585,000;5.586,000;5.582,500;5.582,500;415.960.065,00;7.449
WDOFUT;12/01/2022;11:26:00;5.590,500;5.591,000;5.585,000;5.585,500;834.050.850,00;14.927
WDOFUT;12/01/2022;11:25:00;5.592,000;5.593,000;5.590,500;5.590,500;229.153.990,00;4.098
WDOFUT;12/01/2022;11:24:00;5.593,000;5.593,500;5.591,000;5.592,000;281.631.865,00;5.036
WDOFUT;12/01/2022;11:23:00;5.591,500;5.595,500;5.590,500;5.593,500;405.103.890,00;7.243
WDOFUT;12/01/2022;11:22:00;5.597,000;5.597,000;5.591,000;5.591,500;668.402.870,00;11.949
WDOFUT;12/01/2022;11:21:00;5.598,500;5.599,000;5.596,000;5.597,000;388.765.825,00;6.945
WDOFUT;12/01/2022;11:20:00;5.604,000;5.604,000;5.598,500;5.599,000;425.340.255,00;7.594
WDOFUT;12/01/2022;11:19:00;5.602,000;5.604,000;5.602,000;5.603,500;286.835.545,00;5.119
WDOFUT;12/01/2022;11:18:00;5.600,000;5.603,000;5.600,000;5.602,500;431.039.235,00;7.695
WDOFUT;12/01/2022;11:17:00;5.602,500;5.603,500;5.598,000;5.600,500;709.048.000,00;12.660
WDOFUT;12/01/2022;11:16:00;5.598,000;5.603,500;5.597,500;5.603,000;903.401.715,00;16.129
WDOFUT;12/01/2022;11:15:00;5.593,500;5.599,000;5.592,500;5.598,000;549.682.160,00;9.823
WDOFUT;12/01/2022;11:14:00;5.592,500;5.594,000;5.591,500;5.593,000;238.419.150,00;4.263
WDOFUT;12/01/2022;11:13:00;5.589,000;5.593,500;5.588,500;5.593,000;514.974.455,00;9.210
WDOFUT;12/01/2022;11:12:00;5.589,500;5.590,000;5.587,500;5.589,000;213.270.795,00;3.816
WDOFUT;12/01/2022;11:11:00;5.586,000;5.590,000;5.585,500;5.590,000;364.422.210,00;6.522
WDOFUT;12/01/2022;11:10:00;5.589,000;5.589,500;5.585,500;5.585,500;421.955.020,00;7.552
WDOFUT;12/01/2022;11:09:00;5.593,500;5.594,500;5.588,500;5.588,500;543.742.035,00;9.726
WDOFUT;12/01/2022;11:08:00;5.596,000;5.596,500;5.593,000;5.593,500;391.870.300,00;7.005
WDOFUT;12/01/2022;11:07:00;5.595,000;5.597,000;5.594,000;5.595,500;460.467.800,00;8.229
WDOFUT;12/01/2022;11:06:00;5.591,500;5.595,500;5.591,500;5.595,000;780.925.035,00;13.961
WDOFUT;12/01/2022;11:05:00;5.584,000;5.592,000;5.583,000;5.592,000;863.761.630,00;15.455
WDOFUT;12/01/2022;11:04:00;5.583,000;5.584,500;5.582,500;5.584,500;204.973.730,00;3.671
